,ID,etmiss,mtw,leadleptPt,leadleptEta,leadleptE,leadleptPhi,Q_leadlep,leadleptID,n_TopLRjets,leadTopLRjet_pt,leadTopLRjet_eta,leadTopLRjet_phi,leadTopLRjet_m,leadTopLRjet_Tau32,n_jets,leadjet_pt,leadjet_eta,n_bjets,leadbjet_pt,leadbjet_eta,ttbarMLR,largeRjet_pt_total,largeRjet_eta_total,largeRjet_phi_total,largeRjet_m_total,largeRjet_tau32_total,weight,scale,label
3042,signal,138.84,58.4615,171.398,-1.08412,282.383,1.85908,-1,11,1,416.543,-1.70149,-1.29198,185.97,0.3967,1,131.43,-0.802223,1,168.635,-2.03932,0.0,721.424,-2.68354,0.311334,291.211,1.19884,1.63984,0.0567221,1
3043,signal,133.644,20.3944,197.087,1.16422,346.438,-0.731441,-1,11,1,551.249,-0.132637,2.59307,183.102,0.47978,2,207.576,-0.249702,3,346.707,0.0172721,1124.71,832.019,-0.243448,2.19082,250.784,1.22644,1.58476,0.0567221,1
3044,signal,202.247,58.7491,134.743,1.19659,243.281,-1.62801,-1,13,1,429.549,1.83311,1.61809,157.846,0.275786,2,103.276,1.53563,2,343.314,1.84523,687.291,429.549,1.83311,1.61809,157.846,0.275786,1.58854,0.0567221,1
3045,signal,35.4639,29.1824,156.005,0.516795,177.306,-2.46721,1,11,1,415.901,0.259795,0.491084,155.308,0.615643,1,262.468,0.998427,1,137.386,0.587724,0.0,821.143,1.14017,-2.21163,289.665,1.19187,1.69399,0.0567221,1
3046,signal,38.7522,97.6095,73.9644,-0.988657,113.154,-1.15531,-1,11,1,354.429,-1.7135,1.33895,189.912,0.247781,2,214.961,-0.388562,2,214.961,-0.388562,792.363,628.799,-2.27889,-0.181227,304.956,0.822436,0.550854,0.0567221,1
3047,signal,25.7678,62.9891,72.8664,1.12092,123.642,0.757001,1,11,1,310.276,0.305894,-2.06412,174.402,0.607672,2,253.544,1.73589,2,253.544,1.73589,851.414,625.818,1.9427,-1.02503,287.677,1.07904,0.540733,0.0567221,1
3048,signal,30.1489,46.4045,272.329,-1.94734,973.935,-1.56017,1,11,1,411.306,-1.86655,1.31573,149.82,0.326105,1,138.26,-1.40336,2,138.26,-1.40336,864.248,411.306,-1.86655,1.31573,149.82,0.326105,1.74989,0.0567221,1
3049,signal,119.292,5.66492,121.74,0.748748,157.49,-0.495237,-1,11,1,418.494,0.892126,2.81902,157.639,0.433502,1,180.128,0.844295,1,180.128,0.844295,738.533,735.149,1.7466,2.61294,238.459,1.01582,0.98627,0.0567221,1
3050,signal,90.9789,50.1078,272.674,0.12125,274.681,1.40857,-1,11,1,387.827,0.72593,-1.7418,142.053,0.649056,1,69.5452,0.605874,1,220.882,0.659277,0.0,707.319,0.869987,-0.348524,206.989,1.10344,0.848219,0.0567221,1
3051,signal,188.918,340.583,170.939,0.226129,175.328,1.89764,-1,13,1,317.412,-0.0799238,-0.65589,111.984,0.326032,3,314.908,-0.334908,1,195.014,0.0811968,0.0,651.014,-0.401731,2.1062,215.354,0.910726,0.597189,0.0567221,1
3052,signal,251.977,83.6006,140.189,1.28653,273.119,-1.22475,-1,13,1,438.646,1.80286,1.57062,143.696,0.49248,2,46.8392,2.23051,2,58.5572,2.07954,614.392,438.646,1.80286,1.57062,143.696,0.49248,0.615902,0.0567221,1
3053,signal,205.813,28.6164,100.157,0.647609,121.904,1.52266,-1,11,1,393.726,1.83745,-1.7057,175.143,0.504977,1,69.328,0.78064,2,281.951,1.66064,625.824,393.726,1.83745,-1.7057,175.143,0.504977,1.68273,0.0567221,1
3054,signal,96.831,15.578,45.3484,0.427626,49.5582,3.06535,1,11,1,473.96,-0.752315,-0.386845,191.014,0.443485,2,362.52,-0.219983,2,362.52,-0.219983,958.632,867.762,-0.890637,2.20013,320.88,1.07051,0.00157755,0.0567221,1
3055,signal,79.5575,37.8217,77.611,-2.29191,387.855,-0.0570181,-1,13,1,380.12,-1.41042,2.96762,142.744,0.314273,1,71.4943,-1.80531,1,92.5419,-1.79027,0.0,380.12,-1.41042,2.96762,142.744,0.314273,1.23862,0.0567221,1
3056,signal,119.532,43.1656,161.198,0.322477,169.652,-2.15549,-1,11,1,387.434,-0.4658,0.103798,157.226,0.462977,2,124.251,-1.36499,2,107.167,0.960953,0.0,387.434,-0.4658,0.103798,157.226,0.462977,1.56131,0.0567221,1
3057,signal,46.4373,146.076,118.424,-0.825127,161.077,-1.85371,-1,13,1,460.607,-0.789145,0.653634,179.037,0.47566,2,363.165,-0.723983,2,363.165,-0.723983,966.52,460.607,-0.789145,0.653634,179.037,0.47566,0.00209454,0.0567221,1
